Marriage_Cost_Current,Car_Cost_Current,Home_Cost_Current,City_Ahmedabad,City_Bangalore,City_Chennai,City_Delhi,City_Hyderabad,City_Jaipur,City_Kolkata,City_Lucknow,City_Mumbai,City_Pune,Area_Type_Central,Area_Type_Developing,Area_Type_East,Area_Type_IT Corridor,Area_Type_North,Area_Type_Outer,Area_Type_Premium,Area_Type_South,Area_Type_Suburban,Area_Type_West
890000,1260000,9400000,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
830000,1180000,8800000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
850000,1200000,9000000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
820000,1150000,8600000,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
870000,1220000,9200000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
750000,1060000,7900000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
780000,1100000,8300000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
900000,1270000,9500000,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
950000,1340000,10100000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
710000,1010000,7600000,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1000000,1420000,12600000,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
930000,1320000,11800000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
950000,1350000,12000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
910000,1300000,11500000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
970000,1380000,12200000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
840000,1190000,10600000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
870000,1240000,11000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1010000,1430000,12700000,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1060000,1510000,13400000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
800000,1130000,10100000,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
840000,1210000,8900000,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
780000,1130000,8300000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
800000,1150000,8500000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
770000,1100000,8200000,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
820000,1170000,8700000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
700000,1010000,7500000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
740000,1060000,7800000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
850000,1220000,9000000,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
900000,1290000,9500000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
670000,970000,7100000,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
740000,1100000,6800000,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
690000,1030000,6400000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
700000,1050000,6500000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
670000,1010000,6200000,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
710000,1070000,6600000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
620000,920000,5700000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
640000,970000,6000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
740000,1110000,6900000,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
780000,1180000,7300000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
590000,880000,5500000,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
740000,1050000,6800000,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
690000,980000,6400000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
700000,1000000,6500000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
670000,960000,6200000,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
710000,1020000,6600000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
620000,880000,5700000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
640000,920000,6000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
740000,1060000,6900000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
780000,1120000,7300000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
590000,840000,5500000,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
790000,1100000,7400000,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
740000,1030000,6900000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
750000,1050000,7000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
720000,1010000,6700000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
760000,1070000,7100000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
660000,920000,6200000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
690000,970000,6400000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
800000,1110000,7400000,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
840000,1180000,7800000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
630000,880000,5900000,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
520000,940000,5800000,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
490000,880000,5400000,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
500000,900000,5500000,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
480000,860000,5300000,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
510000,920000,5600000,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
440000,790000,4800000,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
460000,830000,5100000,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
530000,950000,5800000,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
560000,1010000,6200000,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
420000,760000,4600000,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
630000,1000000,5800000,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
590000,930000,5400000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
600000,950000,5500000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
580000,910000,5300000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
610000,970000,5600000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
530000,840000,4800000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
550000,870000,5100000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
640000,1010000,5800000,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
670000,1060000,6200000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
500000,800000,4600000,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
580000,940000,4700000,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
540000,880000,4400000,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
550000,900000,4500000,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
530000,860000,4300000,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
560000,920000,4600000,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
480000,790000,4000000,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
510000,830000,4100000,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
580000,950000,4800000,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
620000,1010000,5000000,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
460000,760000,3800000,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
520000,890000,4400000,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
490000,830000,4100000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
500000,850000,4200000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
480000,820000,4000000,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
510000,870000,4300000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
440000,750000,3700000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
460000,780000,3900000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
530000,900000,4500000,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
560000,950000,4700000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
420000,710000,3500000,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
